INSTALL_ID,INSTALL_CODE,STATUS,PROJECT_SUMMARY,IS_ENABLE,CP_DL,CP_XL,CP_MK,COMPLETE_DATE,ACCEPTANCE_DATE,BUSINESS_TYPE,BUSINESS_TYPE_INIT,TOTAL_COUNT
5dacc0ec-d3a7-40f2-bd9b-2c5888a379a6,ZJ_2009040004,5,加站点,1,病理软件,PathQC系统,PathRPT常规报告工作站软件,2021-08-01 00:00:00.000,2021-05-28 00:00:00.000,CG,NULL,4
5dacc0ec-d3a7-40f2-bd9b-2c5888a379a6,ZJ_2009040004,5,加站点,1,病理硬件,物料信息,朗珈鼠标垫,2021-08-01 00:00:00.000,2021-05-28 00:00:00.000,CG,NULL,1
5dacc0ec-d3a7-40f2-bd9b-2c5888a379a6,ZJ_2009040004,5,加站点,1,病理硬件,物料信息,PathQC加密狗,2021-08-01 00:00:00.000,2021-05-28 00:00:00.000,CG,NULL,4
cb2fa1bb-a6a6-48df-8c2e-54175cf43a13,ZJ_2010090001,5,单点登录接口,1,病理接口,信息接口,单点登录系统接口,2021-03-19 00:00:00.000,2021-03-11 00:00:00.000,CG,NULL,1
15423ce9-d957-4f53-a788-72353911b028,ZJ_2102070005,5,STEPP程序,1,病理软件,PathQC系统,定制STEPP评分程序,2021-03-14 00:00:00.000,2021-03-11 00:00:00.000,NULL,NULL,1
68bae9fa-50a7-4402-a104-135a89365ce8,ZJ_2111080001,4,危急值接口,1,病理接口,信息接口,危急值系统接口,NULL,2023-01-11 00:00:00.000,CG,NULL,1
1b0a15df-f237-4fef-b6ac-eb02a8a02523,ZJ_2211240001,4,两院合并接口改造,1,病理接口,信息接口,两院合并接口改造,NULL,2025-07-21 00:00:00.000,TQ,NULL,1
305c6480-a6f5-4dcc-873e-cb06909fc10b,ZJ_2305150003,5,结构化报告及报告上传接口,1,病理软件,PathQC系统,定制骨肿瘤活检标本报告模板,NULL,2023-12-20 00:00:00.000,TQ,NULL,1
305c6480-a6f5-4dcc-873e-cb06909fc10b,ZJ_2305150003,5,结构化报告及报告上传接口,1,病理软件,PathQC系统,定制骨肿瘤切除标本报告模板,NULL,2023-12-20 00:00:00.000,TQ,NULL,1
305c6480-a6f5-4dcc-873e-cb06909fc10b,ZJ_2305150003,5,结构化报告及报告上传接口,1,病理接口,信息接口,定制结构化报告上传接口,NULL,2023-12-20 00:00:00.000,TQ,NULL,1
